iter	Passed	Remaining
0	147	147209
1	151	75650
2	155	51730
3	159	39750
4	163	32595
5	167	27806
6	171	24376
7	176	21852
8	180	19845
9	184	18256
10	187	16861
11	190	15648
12	192	14614
13	194	13730
14	197	12965
15	199	12295
16	202	11698
17	204	11168
18	207	10696
19	209	10272
20	212	9889
21	214	9523
22	216	9180
23	218	8867
24	219	8576
25	221	8307
26	223	8056
27	225	7822
28	227	7606
29	228	7403
30	230	7214
31	232	7037
32	234	6870
33	236	6713
34	238	6564
35	239	6425
36	241	6291
37	243	6165
38	245	6046
39	247	5933
40	249	5825
41	250	5724
42	252	5625
43	254	5532
44	256	5444
45	258	5358
46	260	5276
47	262	5197
48	263	5122
49	265	5051
50	267	4981
51	269	4915
52	271	4849
53	273	4787
54	275	4727
55	276	4668
56	278	4612
57	280	4557
58	282	4506
59	284	4454
60	286	4404
61	287	4356
62	289	4309
63	291	4264
64	293	4221
65	295	4180
66	297	4138
67	299	4098
68	300	4059
69	302	4021
70	304	3983
71	306	3947
72	308	3912
73	309	3877
74	311	3844
75	313	3811
76	315	3779
77	317	3747
78	318	3717
79	320	3687
80	322	3659
81	324	3630
82	325	3594
83	327	3568
84	329	3542
85	330	3517
86	332	3492
87	334	3468
88	336	3445
89	338	3421
90	340	3398
91	342	3376
92	343	3354
93	345	3333
94	347	3311
95	349	3292
96	351	3271
97	353	3251
98	355	3231
99	356	3212
100	358	3193
101	360	3175
102	362	3156
103	364	3141
104	366	3124
105	368	3109
106	370	3093
107	372	3079
108	375	3066
109	377	3051
110	379	3037
111	381	3023
112	383	3007
113	384	2992
114	386	2976
115	388	2961
116	390	2944
117	391	2929
118	393	2915
119	395	2900
120	397	2887
121	398	2871
122	400	2857
123	402	2844
124	404	2830
125	406	2818
126	407	2802
127	409	2790
128	411	2778
129	413	2766
130	415	2754
131	417	2743
132	419	2731
133	420	2719
134	422	2708
135	424	2697
136	426	2686
137	428	2674
138	430	2663
139	431	2652
140	433	2643
141	435	2628
142	436	2618
143	438	2608
144	440	2598
145	442	2587
146	444	2577
147	446	2567
148	447	2558
149	449	2548
150	451	2539
151	453	2529
152	455	2520
153	457	2511
154	458	2501
155	460	2493
156	462	2484
157	464	2474
158	466	2466
159	468	2458
160	469	2446
161	471	2437
162	472	2428
163	474	2420
164	476	2412
165	478	2404
166	480	2395
167	482	2387
168	483	2379
169	485	2371
170	487	2363
171	489	2357
172	491	2351
173	493	2344
174	496	2340
175	498	2335
176	500	2328
177	502	2322
178	504	2315
179	506	2308
180	508	2302
181	510	2295
182	512	2288
183	514	2282
184	516	2276
185	518	2269
186	520	2263
187	522	2256
188	524	2249
189	526	2243
190	528	2236
191	529	2230
192	532	2225
193	533	2218
194	535	2212
195	537	2206
196	539	2199
197	541	2193
198	543	2187
199	545	2180
200	551	2192
201	553	2187
202	555	2182
203	557	2176
204	559	2171
205	562	2167
206	564	2161
207	566	2155
208	567	2149
209	569	2143
210	571	2137
211	573	2131
212	575	2126
213	577	2122
214	579	2116
215	581	2110
216	583	2104
217	585	2098
218	586	2093
219	588	2087
220	591	2084
221	594	2083
222	596	2078
223	598	2074
224	600	2069
225	602	2063
226	604	2058
227	606	2053
228	608	2049
229	610	2044
230	612	2038
231	614	2033
232	616	2028
233	618	2024
234	621	2023
235	624	2021
236	626	2017
237	628	2012
238	630	2007
239	632	2002
240	634	1996
241	636	1993
242	638	1989
243	640	1985
244	642	1979
245	644	1975
246	646	1970
247	648	1964
248	649	1959
249	652	1956
250	654	1952
251	656	1947
252	657	1942
253	659	1937
254	661	1932
255	663	1927
256	665	1924
257	667	1919
258	669	1915
259	671	1910
260	673	1905
261	675	1901
262	676	1896
263	679	1893
264	681	1891
265	683	1886
266	685	1882
267	687	1877
268	689	1872
269	691	1868
270	692	1864
271	695	1860
272	697	1856
273	698	1851
274	700	1847
275	702	1842
276	704	1838
277	706	1834
278	708	1829
279	710	1826
280	712	1822
281	714	1818
282	715	1813
283	717	1809
284	719	1804
285	721	1800
286	723	1796
287	725	1792
288	727	1788
289	728	1784
